Day	Date	Measure	time	times	addt
35	2019-03-10	Astron_twilight	04:09:00	14940	14940
36	2019-03-11	Astron_twilight	04:07:00	14820	14820
37	2019-03-12	Astron_twilight	04:04:00	14640	14640
38	2019-03-13	Astron_twilight	04:02:00	14520	14520
39	2019-03-14	Astron_twilight	03:59:00	14340	14340
40	2019-03-15	Astron_twilight	03:57:00	14220	14220
41	2019-03-16	Astron_twilight	03:54:00	14040	14040
42	2019-03-17	Astron_twilight	03:52:00	13920	13920
1	2019-02-04	Corvids	na	na	na
2	2019-02-05	Corvids	na	na	na
3	2019-02-06	Corvids	07:34:32	27272	na
4	2019-02-07	Corvids	na	na	na
5	2019-02-08	Corvids	na	na	na
6	2019-02-09	Corvids	na	na	na
7	2019-02-10	Corvids	na	na	na
8	2019-02-11	Corvids	na	na	na
9	2019-02-12	Corvids	na	na	na
10	2019-02-13	Corvids	na	na	na
11	2019-02-14	Corvids	na	na	na
12	2019-02-15	Corvids	na	na	na
13	2019-02-16	Corvids	na	na	na
14	2019-02-17	Corvids	na	na	na
15	2019-02-18	Corvids	na	na	na
16	2019-02-19	Corvids	na	na	na
17	2019-02-20	Corvids	na	na	na
18	2019-02-21	Corvids	na	na	na
19	2019-02-22	Corvids	08:10:53	29453	na
20	2019-02-23	Corvids	06:30:56	23456	na
21	2019-02-24	Corvids	na	na	na
22	2019-02-25	Corvids	08:12:53	29573	na
23	2019-02-26	Corvids	06:47:49	24469	na
24	2019-02-27	Corvids	na	na	na
25	2019-02-28	Corvids	na	na	na
26	2019-03-01	Corvids	na	na	na
27	2019-03-02	Corvids	06:51:18	24678	na
28	2019-03-03	Corvids	06:27:22	23242	na
29	2019-03-04	Corvids	na	na	na
30	2019-03-05	Corvids	07:03:13	25393	na
31	2019-03-06	Corvids	na	na	na
32	2019-03-07	Corvids	na	na	na
33	2019-03-08	Corvids	na	na	na
34	2019-03-09	Corvids	06:11:01	22261	na
35	2019-03-10	Corvids	06:29:07	23347	na
36	2019-03-11	Corvids	na	na	na
37	2019-03-12	Corvids	na	na	na
38	2019-03-13	Corvids	na	na	na
39	2019-03-14	Corvids	na	na	na
40	2019-03-15	Corvids	06:25:03	23103	na
41	2019-03-16	Corvids	na	na	na
42	2019-03-17	Corvids	na	na	na
